type,paperless_billing,payment_method,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,p_i_or_b,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,customer_duration,target
two year,yes,credit card (automatic),19.8,1119.9,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1693.3824550450302,0
one year,no,mailed check,19.3,755.5,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1143.9986651034887,0
two year,no,credit card (automatic),81.0,3084.9,male,0,yes,yes,both,dsl,yes,no,yes,yes,yes,yes,no,1143.1303132891564,0
one year,no,electronic check,76.25,4154.55,female,1,yes,yes,both,dsl,yes,no,yes,yes,yes,no,yes,1662.3765281246278,0
month-to-month,no,mailed check,20.65,38.7,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,46.30617950604486,1
month-to-month,no,electronic check,45.7,198.0,female,1,no,no,internet,dsl,no,no,no,no,yes,yes,nan,140.4305173560187,1
one year,yes,credit card (automatic),108.1,7181.95,female,1,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,1995.85669849154,0
month-to-month,yes,electronic check,74.25,210.3,female,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,77.89194038952849,1
month-to-month,no,electronic check,29.1,688.0,male,0,yes,no,internet,dsl,no,no,yes,no,no,no,nan,717.3890807932862,0
month-to-month,yes,bank transfer (automatic),75.4,1643.55,female,1,no,no,both,fiber optic,yes,no,no,no,no,no,no,689.0334213703542,0
two year,no,bank transfer (automatic),20.65,1057.0,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1446.4304134810152,0
month-to-month,yes,credit card (automatic),104.5,4036.85,male,0,no,no,both,fiber optic,no,yes,yes,no,yes,yes,yes,1204.7891381389852,1
two year,yes,bank transfer (automatic),109.75,4900.65,male,0,yes,yes,both,fiber optic,no,yes,yes,yes,yes,yes,yes,1358.8434326409742,0
month-to-month,no,credit card (automatic),29.8,94.4,male,0,yes,no,internet,dsl,no,yes,no,no,no,no,nan,78.64937801639768,0
two year,no,credit card (automatic),20.5,1502.25,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,2176.0566474101147,0
month-to-month,yes,electronic check,91.0,531.0,male,0,yes,no,both,fiber optic,no,yes,yes,no,no,yes,no,171.72845361886257,1
one year,yes,mailed check,85.85,4793.8,male,0,yes,yes,both,fiber optic,no,yes,yes,yes,no,no,no,1693.2955216589405,0
two year,yes,mailed check,40.55,1390.85,male,0,no,no,internet,dsl,yes,yes,no,yes,no,no,nan,1113.9952756387402,0
month-to-month,yes,electronic check,88.05,4367.35,female,1,yes,no,both,fiber optic,no,yes,no,no,yes,no,yes,1508.8491225240869,1
month-to-month,yes,electronic check,79.15,1520.9,female,1,no,no,both,fiber optic,yes,no,no,no,no,no,yes,593.0938708937161,1
two year,no,credit card (automatic),64.05,4492.9,female,0,yes,yes,both,dsl,yes,yes,yes,yes,no,no,no,2149.764120554151,0
one year,yes,electronic check,106.45,6145.85,female,0,no,no,both,fiber optic,yes,yes,yes,no,yes,yes,no,1751.9568469334233,1
month-to-month,no,electronic check,88.35,1222.8,female,0,yes,yes,both,fiber optic,no,no,no,no,yes,yes,no,380.18483955520776,1
month-to-month,yes,electronic check,70.45,1470.95,male,0,yes,yes,both,fiber optic,no,no,no,no,no,no,no,595.8790183567922,1
month-to-month,no,mailed check,19.75,19.75,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,17.026216044094255,0
one year,no,credit card (automatic),20.35,707.5,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,962.5655698168459,0
one year,yes,credit card (automatic),100.9,6733.15,male,0,yes,no,both,fiber optic,yes,yes,no,no,yes,yes,no,2027.722864630642,0
one year,no,mailed check,20.0,599.3,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,870.4045437133145,0
month-to-month,no,mailed check,57.65,992.7,female,0,no,yes,both,dsl,yes,no,no,no,no,no,yes,535.418374217648,0
month-to-month,yes,mailed check,69.5,1071.4,male,0,yes,yes,both,dsl,no,yes,yes,yes,no,yes,no,444.7077109799329,0
month-to-month,yes,bank transfer (automatic),54.55,2978.3,male,0,yes,no,internet,dsl,no,no,yes,yes,yes,yes,nan,1660.2249870558344,1
two year,no,mailed check,39.7,692.35,female,1,no,no,internet,dsl,yes,no,yes,yes,no,no,nan,413.9239382899986,0
month-to-month,no,mailed check,33.6,33.6,male,0,no,yes,internet,dsl,no,yes,no,yes,no,no,nan,18.24174770749716,0
month-to-month,yes,electronic check,105.65,4284.8,male,1,yes,no,both,fiber optic,no,yes,yes,no,yes,yes,yes,1172.4662811180965,1
month-to-month,no,mailed check,70.7,225.65,male,0,no,yes,both,dsl,no,no,no,yes,yes,yes,no,79.342408060644,0
two year,yes,credit card (automatic),75.95,4542.35,female,0,yes,yes,both,dsl,no,yes,no,yes,yes,yes,no,1783.0954471852021,0
month-to-month,yes,electronic check,99.65,5497.05,female,0,yes,no,both,fiber optic,yes,no,no,no,yes,yes,yes,1723.0073896826643,0
two year,yes,mailed check,40.05,2799.75,male,0,no,no,internet,dsl,no,no,no,yes,no,yes,nan,2117.930245654671,0
month-to-month,yes,bank transfer (automatic),45.4,518.9,male,0,no,no,both,dsl,no,no,no,no,no,no,no,352.1722221890101,1
two year,no,mailed check,24.55,1657.4,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,2058.5466221780407,0
month-to-month,yes,electronic check,95.6,1273.3,male,1,no,no,both,fiber optic,no,no,no,no,yes,yes,yes,412.00143737367495,0
two year,yes,mailed check,89.4,6376.55,male,0,yes,yes,both,dsl,yes,yes,yes,yes,yes,yes,yes,2178.280068747607,0
two year,no,mailed check,20.1,370.5,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,535.0853057981544,0
month-to-month,yes,electronic check,51.15,1275.7,male,0,no,no,both,dsl,yes,no,no,no,no,no,no,715.9081043405984,0
two year,no,mailed check,19.55,265.3,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,381.2536596208574,0
two year,yes,mailed check,62.15,3778.85,male,0,yes,no,internet,dsl,yes,no,yes,yes,yes,yes,nan,1844.5483969667516,0
month-to-month,yes,electronic check,90.6,1660.0,male,1,no,no,both,fiber optic,yes,no,no,no,yes,no,yes,564.0569745422906,1
month-to-month,yes,electronic check,44.35,927.15,female,0,no,no,both,dsl,no,no,no,no,no,no,no,597.026004196688,0
two year,no,mailed check,19.75,757.95,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1173.8377342847716,0
month-to-month,no,mailed check,51.55,106.2,female,0,no,yes,both,dsl,no,yes,no,no,no,no,no,49.89025659325405,0
two year,no,bank transfer (automatic),65.55,4361.55,male,0,no,no,both,dsl,yes,no,yes,no,no,yes,no,2026.2322681583832,0
one year,no,bank transfer (automatic),44.25,2276.1,male,0,yes,yes,internet,dsl,yes,no,yes,no,no,yes,nan,1569.1065846116774,0
month-to-month,yes,mailed check,19.9,19.9,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,17.707066288390532,0
one year,no,mailed check,19.4,1061.6,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1723.724908272915,0
two year,yes,electronic check,109.55,8165.1,female,0,yes,no,both,fiber optic,yes,yes,yes,no,yes,yes,yes,2176.552533606363,0
month-to-month,yes,mailed check,74.6,74.6,female,0,no,no,both,fiber optic,no,no,yes,no,no,no,no,17.546109467808307,1
month-to-month,yes,electronic check,99.95,1931.75,male,0,no,no,both,fiber optic,no,yes,no,no,yes,yes,yes,564.1684938351078,1
two year,yes,credit card (automatic),24.95,1614.9,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,2057.953234640208,0
month-to-month,yes,bank transfer (automatic),79.35,661.25,male,0,yes,yes,both,fiber optic,no,no,yes,no,no,no,yes,259.1783415282904,1
one year,no,credit card (automatic),24.7,1174.35,male,1,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,1357.4579251576386,0
two year,no,credit card (automatic),24.95,894.3,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,1023.4458311535031,0
month-to-month,no,electronic check,69.1,69.1,male,1,no,no,both,fiber optic,no,no,no,no,no,no,no,17.042080094506233,1
month-to-month,yes,electronic check,77.0,237.75,male,1,no,no,both,fiber optic,no,no,no,no,no,no,yes,78.56322503057538,1
month-to-month,yes,bank transfer (automatic),20.3,20.3,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,16.715145276680293,0
month-to-month,no,electronic check,76.0,76.0,female,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,17.784269479544157,1
one year,yes,credit card (automatic),90.35,4614.55,male,0,yes,no,both,fiber optic,no,yes,no,no,no,yes,yes,1538.1736677185913,0
two year,no,mailed check,23.85,1672.1,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,2148.366273672697,0
month-to-month,yes,mailed check,20.55,187.35,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,292.37717256988395,0
month-to-month,yes,electronic check,75.65,302.35,female,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,110.75272465074147,0
one year,no,credit card (automatic),58.0,1734.5,female,0,no,no,both,dsl,yes,no,yes,yes,no,no,no,870.8897951474755,0
month-to-month,no,bank transfer (automatic),73.25,1195.75,female,0,yes,yes,both,fiber optic,no,yes,no,no,no,no,no,474.38460209044604,0
month-to-month,no,mailed check,19.65,100.9,male,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,171.86478857431987,0
month-to-month,yes,mailed check,19.95,59.25,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,108.23158447015975,0
month-to-month,yes,electronic check,101.35,1553.95,male,0,no,no,both,fiber optic,no,no,yes,yes,yes,yes,no,442.3649545817714,1
month-to-month,no,electronic check,25.3,77.75,female,1,no,no,internet,dsl,no,no,no,no,no,no,nan,77.86091258211253,1
one year,yes,bank transfer (automatic),100.15,4459.8,female,1,no,no,both,fiber optic,no,no,yes,no,yes,yes,yes,1357.7686032656961,0
month-to-month,yes,electronic check,74.55,622.9,female,1,no,no,both,fiber optic,no,no,no,no,no,no,yes,258.1461305705355,1
two year,yes,credit card (automatic),108.55,7616.0,male,0,yes,no,both,fiber optic,yes,no,yes,yes,yes,yes,yes,2149.042853486149,0
month-to-month,yes,electronic check,85.2,1553.9,female,0,no,no,both,fiber optic,no,no,no,no,yes,no,yes,535.7743934048207,1
month-to-month,yes,electronic check,98.35,2515.3,male,0,no,no,both,fiber optic,no,no,yes,no,yes,yes,yes,777.4261832658839,1
month-to-month,yes,bank transfer (automatic),77.65,714.15,female,0,no,no,both,fiber optic,no,no,no,no,yes,no,no,259.0755007277004,1
one year,no,mailed check,19.45,113.5,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,169.60366504066047,0
two year,yes,bank transfer (automatic),116.85,8477.7,female,0,yes,yes,both,fiber optic,yes,yes,yes,yes,yes,yes,yes,2178.831219763733,0
two year,yes,credit card (automatic),89.4,5597.65,male,0,yes,yes,both,dsl,yes,yes,yes,yes,yes,yes,yes,1903.1189767807018,0
two year,no,credit card (automatic),19.45,1225.65,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1935.876418606529,0
two year,no,credit card (automatic),19.8,1388.45,male,1,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,2148.2211977748348,0
month-to-month,no,electronic check,89.45,2807.65,male,1,yes,no,both,fiber optic,yes,no,no,no,yes,no,yes,931.847579444703,0
month-to-month,yes,electronic check,53.8,1389.85,male,0,yes,no,both,dsl,no,yes,no,yes,no,no,no,808.1296935075619,0
month-to-month,no,bank transfer (automatic),66.25,2907.35,male,0,yes,no,both,dsl,yes,yes,no,yes,no,no,yes,1297.7883468745622,0
month-to-month,yes,electronic check,84.35,474.9,female,1,yes,no,both,fiber optic,no,no,no,no,no,yes,yes,170.92958742390073,1
month-to-month,yes,electronic check,45.0,89.75,female,0,yes,no,both,dsl,no,no,no,no,no,no,no,49.474330372984355,0
month-to-month,yes,electronic check,76.5,2868.15,female,1,yes,no,both,fiber optic,no,no,no,no,no,no,yes,1113.8361272716102,1
one year,yes,mailed check,20.55,184.95,male,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,324.643510094742,0
two year,no,mailed check,19.55,1245.6,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1904.3674813710434,0
one year,yes,electronic check,93.45,4872.2,female,0,yes,no,both,fiber optic,no,no,no,yes,yes,yes,no,1599.1547382541623,0
two year,yes,bank transfer (automatic),80.85,5727.45,male,0,yes,yes,both,dsl,yes,yes,yes,yes,yes,no,yes,2177.949140188002,0
month-to-month,yes,electronic check,94.1,1782.4,female,1,no,no,both,fiber optic,no,yes,yes,no,no,yes,yes,595.9365912394948,1
month-to-month,no,mailed check,55.0,2010.55,male,0,no,no,both,dsl,no,no,no,no,yes,no,no,1049.920131393647,1
two year,yes,bank transfer (automatic),65.3,3512.9,male,0,no,no,both,dsl,yes,yes,no,no,yes,no,no,1630.0459267686833,0
month-to-month,yes,electronic check,85.75,2146.5,male,0,no,no,both,fiber optic,no,yes,no,no,yes,no,no,779.178496266473,0
month-to-month,yes,electronic check,80.2,1217.25,male,1,no,no,both,fiber optic,no,yes,no,no,no,no,yes,443.91971498474635,1
two year,yes,bank transfer (automatic),49.8,1971.15,male,0,no,no,both,dsl,no,no,no,yes,no,no,no,1172.049429999595,0
one year,yes,credit card (automatic),99.65,6311.2,female,0,yes,yes,both,fiber optic,yes,no,no,no,yes,yes,yes,1903.35620051145,0
two year,no,bank transfer (automatic),95.1,6683.4,male,0,yes,yes,both,fiber optic,yes,yes,no,yes,no,yes,no,2058.9516814796684,0
month-to-month,yes,electronic check,80.8,457.1,male,1,yes,no,both,fiber optic,no,no,yes,no,no,no,yes,169.75103896487747,0
month-to-month,yes,bank transfer (automatic),94.9,3848.0,female,0,yes,yes,both,fiber optic,no,no,yes,no,yes,yes,no,1235.276834953583,0
month-to-month,no,mailed check,25.25,101.9,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,110.44421654425878,0
month-to-month,yes,mailed check,79.65,152.7,female,0,no,no,both,fiber optic,no,no,no,no,yes,no,no,48.581726786056755,1
one year,no,electronic check,40.3,1794.8,male,0,yes,yes,internet,dsl,yes,no,yes,yes,no,no,nan,1417.7938030212526,0
month-to-month,no,mailed check,20.1,223.6,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,351.3363994666512,0
month-to-month,no,electronic check,47.15,223.15,male,0,no,no,both,dsl,no,no,no,no,no,no,yes,140.00572266682394,1
one year,yes,mailed check,61.5,2722.2,female,0,yes,no,both,dsl,yes,yes,yes,no,no,no,no,1327.255092906642,0
one year,yes,bank transfer (automatic),79.6,3974.7,male,1,no,no,both,fiber optic,no,yes,no,no,no,no,yes,1540.012503616755,0
one year,no,credit card (automatic),79.85,1387.35,female,0,no,no,both,dsl,yes,yes,no,yes,yes,yes,no,505.8773038184034,0
month-to-month,yes,electronic check,19.85,63.0,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,109.78219140947841,0
two year,yes,bank transfer (automatic),24.1,861.85,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,1111.6647716478872,0
one year,no,electronic check,24.85,1013.6,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,1326.1561848679548,0
month-to-month,no,electronic check,85.0,3969.4,male,1,no,no,both,fiber optic,yes,no,no,no,no,yes,no,1385.5649229362427,1
month-to-month,yes,mailed check,90.35,434.5,male,0,yes,yes,both,fiber optic,yes,no,yes,no,no,yes,no,140.24137372162232,0
month-to-month,yes,credit card (automatic),80.45,583.45,male,1,yes,yes,both,fiber optic,no,no,no,no,yes,no,no,230.79072428032305,1
month-to-month,yes,credit card (automatic),79.95,1267.95,female,0,yes,yes,both,fiber optic,no,yes,no,no,no,no,yes,474.7483096986458,0
month-to-month,yes,electronic check,70.6,70.6,female,0,no,no,both,fiber optic,no,no,no,no,no,no,no,16.702122579191784,1
month-to-month,yes,electronic check,83.35,2757.85,female,0,no,no,both,fiber optic,no,no,no,no,no,yes,yes,989.5076378387469,1
month-to-month,yes,electronic check,84.35,1745.2,male,1,no,no,both,fiber optic,no,no,no,no,yes,no,yes,596.0139323139697,0
one year,yes,electronic check,45.35,2540.1,female,0,yes,no,internet,dsl,yes,yes,no,no,yes,no,nan,1752.133564609709,0
two year,yes,bank transfer (automatic),24.65,1710.15,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,2149.5828108750443,0
month-to-month,yes,mailed check,45.15,438.4,male,0,no,no,both,dsl,no,no,no,no,no,no,no,227.07496537468887,1
month-to-month,yes,credit card (automatic),55.0,1165.55,male,0,no,no,internet,dsl,yes,yes,yes,yes,yes,no,nan,597.5159902567037,0
month-to-month,no,mailed check,19.5,27.55,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,48.54292677369875,0
one year,no,electronic check,19.9,666.0,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1054.2680830465454,0
month-to-month,yes,electronic check,93.6,2404.1,male,1,no,no,both,fiber optic,no,no,no,no,yes,yes,yes,777.9393818164882,0
one year,no,mailed check,74.8,1821.2,male,0,yes,yes,both,dsl,yes,no,no,no,yes,yes,yes,716.2333730466738,0
month-to-month,no,electronic check,55.15,1206.05,female,0,yes,yes,both,dsl,no,yes,no,yes,no,no,no,656.5724078971508,1
two year,no,bank transfer (automatic),70.1,4048.95,male,0,no,no,both,dsl,no,yes,yes,yes,yes,no,no,1752.295419737803,0
two year,yes,bank transfer (automatic),114.85,8317.95,female,1,yes,no,both,fiber optic,yes,yes,yes,yes,yes,yes,yes,2177.1993420374974,0
month-to-month,no,bank transfer (automatic),85.8,4433.3,female,0,yes,yes,both,fiber optic,no,yes,yes,yes,no,no,no,1569.6069118021876,0
month-to-month,yes,mailed check,93.9,486.85,female,0,no,no,both,fiber optic,no,no,no,no,yes,yes,yes,140.48022035918348,1
one year,yes,electronic check,107.55,4533.9,female,1,yes,no,both,fiber optic,no,no,yes,yes,yes,yes,yes,1294.2566040337822,1
month-to-month,yes,electronic check,101.3,2974.5,female,1,no,yes,both,fiber optic,no,no,no,yes,yes,yes,yes,899.5763806481079,0
month-to-month,yes,electronic check,43.65,526.95,male,1,no,no,internet,dsl,no,no,yes,yes,no,yes,nan,350.72565155818364,1
month-to-month,yes,mailed check,74.85,156.4,male,1,no,no,both,fiber optic,no,no,no,no,no,no,yes,47.48171827052121,1
one year,no,mailed check,19.6,422.5,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,657.5446465379418,0
month-to-month,yes,mailed check,55.15,3673.15,female,0,yes,no,both,dsl,yes,no,yes,no,no,no,no,1964.1536175062272,0
one year,no,mailed check,56.9,2560.1,male,0,yes,yes,both,dsl,yes,no,yes,yes,no,no,no,1386.4315832768661,0
month-to-month,no,bank transfer (automatic),50.1,709.5,female,0,no,no,both,dsl,yes,no,no,no,no,no,no,414.00213904614486,0
two year,yes,bank transfer (automatic),57.5,3265.95,male,0,yes,no,internet,dsl,no,yes,yes,yes,yes,yes,nan,1723.9423632966066,0
one year,yes,mailed check,114.65,6049.5,female,0,yes,no,both,fiber optic,yes,yes,yes,yes,yes,yes,yes,1632.2250296662162,0
month-to-month,yes,electronic check,104.1,5135.15,male,0,yes,no,both,fiber optic,no,yes,yes,no,yes,yes,yes,1418.7358901176924,0
month-to-month,no,electronic check,54.4,1249.25,female,0,no,no,both,dsl,yes,no,no,no,no,no,yes,687.7866924914439,0
month-to-month,yes,electronic check,80.15,1790.65,female,0,yes,yes,both,fiber optic,no,no,no,no,no,yes,no,658.1317205860826,0
month-to-month,yes,electronic check,89.5,2196.15,male,1,no,no,both,fiber optic,no,yes,no,no,yes,no,yes,746.7653629156961,1
month-to-month,yes,bank transfer (automatic),99.65,2404.85,male,0,no,no,both,fiber optic,no,yes,no,no,yes,yes,yes,715.7371610721736,0
one year,yes,bank transfer (automatic),20.85,1327.4,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,2027.533288147347,0
one year,no,electronic check,86.45,2538.05,female,0,yes,yes,both,fiber optic,no,no,yes,no,no,yes,no,901.1608460749769,0
two year,no,mailed check,19.9,76.65,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,110.34015457630049,0
month-to-month,yes,bank transfer (automatic),49.55,393.45,male,0,yes,no,both,dsl,no,yes,no,no,no,no,no,232.98021255142257,0
two year,yes,credit card (automatic),81.5,5553.25,male,0,no,no,both,dsl,yes,yes,yes,yes,no,yes,yes,2088.7565579271914,0
one year,no,electronic check,19.65,244.8,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,383.3112584028107,0
month-to-month,yes,credit card (automatic),89.65,1208.35,female,0,yes,yes,both,fiber optic,no,yes,no,yes,no,yes,no,411.6451415174054,1
one year,no,bank transfer (automatic),20.25,488.25,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,657.130412880201,0
month-to-month,no,bank transfer (automatic),81.0,1923.85,male,0,yes,yes,both,dsl,yes,no,no,yes,yes,yes,yes,717.8478423037651,0
two year,yes,credit card (automatic),94.6,5948.7,female,0,yes,no,both,fiber optic,yes,no,yes,no,yes,no,yes,1934.2939782056317,0
two year,no,mailed check,19.1,780.1,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1205.9925266828307,0
month-to-month,yes,bank transfer (automatic),95.15,997.65,female,1,no,no,both,fiber optic,no,no,no,no,yes,yes,yes,320.1276202148912,1
month-to-month,no,mailed check,25.15,476.8,male,0,no,no,internet,dsl,no,no,no,no,no,no,nan,536.605708106783,0
month-to-month,yes,mailed check,29.3,355.9,female,1,yes,yes,internet,dsl,no,no,no,yes,no,no,nan,352.54082793787376,0
month-to-month,yes,electronic check,74.6,1797.75,female,0,yes,no,both,fiber optic,no,no,yes,no,no,no,no,746.6359921473619,0
month-to-month,no,credit card (automatic),50.2,668.85,male,0,yes,no,both,dsl,no,no,yes,no,no,no,no,412.02401223454206,0
two year,yes,credit card (automatic),25.15,1683.6,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,1996.8089079124518,0
one year,yes,mailed check,64.4,2088.75,female,0,no,no,both,dsl,yes,yes,no,yes,no,no,yes,1020.9155378106417,1
month-to-month,no,electronic check,77.8,1358.6,female,0,no,no,both,fiber optic,no,yes,yes,no,no,no,no,536.6259720140152,0
month-to-month,yes,mailed check,78.0,851.8,male,0,no,yes,both,fiber optic,no,no,yes,no,no,no,yes,324.0372861300661,0
two year,no,mailed check,19.05,637.55,male,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,899.2908275747599,0
two year,yes,bank transfer (automatic),71.45,5025.85,female,0,yes,yes,both,dsl,yes,no,yes,no,yes,no,yes,2178.8445336005248,0
month-to-month,yes,mailed check,54.45,87.3,male,0,no,no,both,dsl,yes,no,no,yes,no,no,no,49.57986910707422,0
month-to-month,no,credit card (automatic),59.6,2970.3,male,0,yes,yes,both,dsl,yes,yes,no,yes,no,no,no,1477.8502798769068,0
two year,yes,electronic check,80.65,5330.2,female,0,no,no,both,dsl,no,yes,yes,no,yes,yes,yes,2057.4579067974355,0
two year,yes,bank transfer (automatic),20.75,844.45,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1265.961909726818,0
one year,no,bank transfer (automatic),64.15,3491.55,male,0,yes,yes,both,dsl,yes,yes,no,yes,no,no,yes,1599.7529081382454,0
two year,yes,bank transfer (automatic),20.9,1493.2,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,2148.9689189083274,0
one year,yes,bank transfer (automatic),97.8,5458.8,female,1,yes,no,both,fiber optic,no,yes,no,no,yes,yes,yes,1753.9166571898631,0
month-to-month,no,credit card (automatic),68.85,2958.95,male,0,no,no,both,fiber optic,no,no,no,no,no,no,no,1327.970574641344,0
month-to-month,yes,electronic check,20.25,61.45,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,77.52843443177451,0
one year,no,credit card (automatic),94.8,5264.3,male,1,no,yes,both,fiber optic,yes,no,no,no,yes,yes,no,1693.4920554284022,0
one year,yes,credit card (automatic),20.65,595.5,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,779.0746906386257,0
one year,no,electronic check,110.35,5893.15,female,0,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,1630.0002987067844,1
month-to-month,no,electronic check,80.35,3825.85,female,1,yes,no,both,fiber optic,yes,no,no,no,no,no,yes,1417.207433201188,1
two year,no,bank transfer (automatic),90.55,6404.0,male,0,yes,no,both,dsl,yes,yes,yes,yes,yes,yes,yes,2149.6047050830252,0
two year,no,mailed check,19.6,808.95,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1204.5218145254191,0
two year,yes,credit card (automatic),65.65,3566.7,male,0,yes,yes,both,dsl,yes,yes,no,yes,no,no,yes,1631.9724638497075,0
two year,no,mailed check,73.6,2316.85,female,0,yes,yes,both,dsl,yes,yes,yes,yes,no,yes,no,961.7725385925689,0
two year,no,mailed check,20.85,161.65,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,231.05501851657252,0
one year,yes,bank transfer (automatic),70.85,4738.85,female,1,yes,no,both,dsl,no,yes,yes,no,yes,no,yes,1996.0278594608965,0
one year,no,bank transfer (automatic),19.95,1244.8,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1874.1684078802023,0
one year,no,credit card (automatic),19.9,510.8,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,747.7673855460131,0
one year,yes,credit card (automatic),94.9,4422.95,male,0,no,no,both,fiber optic,no,yes,yes,no,yes,no,yes,1388.6230536978014,0
month-to-month,yes,electronic check,94.5,2979.2,male,0,no,no,both,fiber optic,no,yes,no,no,yes,yes,no,932.7002076217158,0
one year,yes,bank transfer (automatic),90.25,6385.95,female,0,no,no,both,fiber optic,no,yes,yes,yes,no,no,yes,2119.8968673144086,0
month-to-month,no,electronic check,75.35,338.1,female,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,109.51539220626042,1
one year,no,mailed check,21.1,741.0,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1053.6785530034067,0
two year,yes,credit card (automatic),24.95,1718.35,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,2087.12003216351,0
one year,yes,credit card (automatic),79.3,2427.1,female,0,no,no,both,dsl,yes,no,yes,no,yes,yes,yes,900.2033472017889,0
two year,yes,bank transfer (automatic),64.55,4250.1,male,1,no,no,both,dsl,yes,yes,no,yes,no,no,yes,2027.3538293543418,0
month-to-month,yes,credit card (automatic),87.8,2621.75,female,0,yes,yes,both,fiber optic,no,no,no,no,yes,yes,no,868.456897094654,0
month-to-month,no,mailed check,95.0,655.5,male,0,no,no,both,fiber optic,no,no,no,no,yes,yes,yes,200.80118483140924,1
one year,no,mailed check,19.85,535.05,male,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,868.739859548181,0
month-to-month,yes,electronic check,80.15,385.0,male,0,yes,yes,both,fiber optic,no,yes,no,no,no,no,yes,138.92015463581967,1
month-to-month,no,mailed check,19.0,78.9,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,110.10296882708471,0
one year,yes,bank transfer (automatic),113.15,7953.25,male,0,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,2150.6313633156537,0
